-23,-1009
54,-23,-1010
55,-25,-1013
53,-24,-1008
54,-24,-1007
53,-23,-1010
52,-20,-1012
51,-21,-1010
50,-22,-1015
52,-22,-1006
55,-21,-1013
55,-24,-1009
54,-24,-1015
55,-23,-1010
53,-21,-1009
52,-23,-1007
50,-20,-1012
50,-17,-1011
51,-21,-1011
54,-22,-1013
52,-24,-1007
53,-25,-1010
51,-24,-1005
55,-22,-1013
54,-20,-1007
52,-20,-1009
53,-20,-1010
52,-18,-1013
52,-22,-1006
51,-21,-1014
53,-23,-1008
51,-23,-1013
51,-23,-1005
54,-21,-1015
53,-26,-1006
51,-22,-1012
51,-24,-1008
53,-21,-1009
53,-25,-1012
53,-23,-1010
56,-26,-1009
55,-22,-1013
53,-22,-1010
51,-22,-1010
51,-21,-1009
54,-20,-1010
51,-20,-1013
53,-20,-1011
53,-24,-1007
56,-24,-1010
55,-23,-1006
55,-24,-1010
52,-21,-1010
52,-22,-1009
52,-19,-1011
51,-19,-1009
53,-19,-1008
52,-22,-1006
53,-20,-1009
55,-24,-1008
54,-24,-1013
53,-22,-1008
51,-22,-1009
51,-22,-1010
51,-21,-1007
51,-19,-1008
54,-20,-1008
55,-23,-1011
56,-24,-1007
53,-24,-1014
53,-23,-1007
58,-18,-1021
49,-24,-1005
54,-23,-1008
52,-18,-1017
51,-23,-1006
51,-23,-1013
55,-25,-1001
50,-22,-1017
51,-25,-999
54,-21,-1020
50,-20,-998
52,-19,-1013
53,-21,-1004
50,-19,-1014
53,-22,-1007
53,-22,-1018
51,-24,-1002
54,-22,-1018
50,-23,-1001
47,-18,-1015
50,-21,-1005
53,-23,-1011
54,-26,-1007
57,-24,-1014
55,-27,-1011
52,-24,-1011
55,-22,-1012
51,-22,-1012
52,-23,-1009
51,-20,-1009
49,-20,-1007
52,-22,-1009
55,-22,-1012
52,-23,-1009
54,-24,-1010
52,-25,-1010
53,-21,-1011
54,-21,-1007
51,-18,-1013
52,-19,-1008
51,-18,-1013
50,-22,-1007
54,-23,-1011
53,-25,-1012
54,-26,-1011
53,-24,-1010
55,-22,-1011
50,-20,-1010
51,-19,-1012
51,-18,-1010
53,-21,-1011
53,-21,-1008
56,-24,-1007
53,-26,-1010
56,-27,-1008
54,-24,-1009
53,-21,-1006
53,-22,-1012
51,-20,-1009
51,-21,-1011
51,-22,-1009
53,-24,-1006
55,-25,-1009
54,-25,-1010
54,-24,-1010
53,-24,-1011
51,-19,-1009
52,-20,-1011
52,-19,-1011
51,-19,-1008
52,-22,-1009
53,-23,-1007
54,-24,-1007
58,-25,-1011
57,-24,-1005
53,-22,-1009
54,-22,-1009
53,-21,-1010
51,-18,-1014
51,-22,-1011
54,-22,-1013
53,-22,-1009
53,-22,-1013
54,-23,-1012
54,-23,-1009
58,-20,-1015
50,-21,-1008
54,-24,-1008
51,-20,-1010
52,-22,-1017
51,-22,-1002
53,-20,-1018
51,-23,-1005
55,-21,-1014
54,-25,-1002
52,-23,-1015
54,-24,-1007
56,-21,-1010
55,-22,-1008
53,-22,-1010
53,-19,-1007
51,-22,-1008
53,-23,-1011
51,-25,-1009
53,-22,-1011
53,-24,-1007
52,-23,-1012
56,-22,-1004
54,-21,-1012
53,-21,-1007
51,-22,-1013
52,-20,-1009
51,-21,-1010
54,-22,-1010
54,-24,-1012
53,-24,-1010
51,-23,-1009
55,-24,-1013
53,-21,-1007
55,-20,-1014
51,-22,-1007
54,-23,-1006
54,-21,-1005
51,-16,-1009
52,-23,-1011
54,-21,-1011
56,-25,-1007
53,-23,-1011
54,-21,-1011
53,-20,-1009
55,-19,-1015
50,-21,-1010
53,-21,-1016
53,-21,-1009
52,-23,-1012
54,-25,-1009
55,-23,-1006
53,-23,-1010
53,-23,-1009
53,-21,-1011
53,-20,-1009
53,-21,-1009
51,-21,-1009
55,-20,-1009
52,-21,-1008
54,-23,-1010
52,-23,-1010
56,-21,-1011
55,-23,-1009
53,-22,-1009
52,-21,-1007
52,-18,-1014
53,-20,-1009
51,-23,-1007
54,-25,-1010
54,-22,-1009
55,-23,-1007
53,-21,-1010
54,-23,-1012
54,-21,-1007
51,-21,-1011
50,-22,-1006
53,-22,-1006
52,-20,-1011
52,-22,-1014
53,-23,-1010
52,-24,-1009
54,-24,-1007
55,-23,-1008
52,-23,-1009
50,-17,-1002
54,-22,-1023
41,-31,-977
65,-16,-1040
48,-22,-993
53,-23,-1028
52,-27,-986
58,-19,-1024
49,-29,-978
56,-16,-1035
50,-25,-985
53,-19,-1031
51,-25,-994
55,-22,-1023
50,-23,-1004
57,-21,-1013
51,-25,-987
51,-19,-1026
52,-23,-994
52,-18,-1019
52,-23,-1003
52,-21,-1014
52,-22,-1001
54,-21,-1015
54,-22,-1013
53,-22,-1009
54,-21,-1016
54,-21,-1016
53,-21,-1008
51,-19,-1013
51,-21,-1015
50,-21,-1012
53,-23,-1009
54,-24,-1009
56,-24,-1008
53,-23,-1006
53,-23,-1012
51,-22,-1006
53,-21,-1010
51,-24,-1008
53,-21,-1016
56,-22,-1011
52,-21,-1015
55,-23,-1007
53,-23,-1013
55,-22,-1008
55,-23,-1011
51,-21,-1010
53,-20,-1009
53,-20,-1007
54,-21,-1009
54,-21,-1011
52,-22,-1009
53,-23,-1011
56,-22,-1009
53,-22,-1013
52,-24,-1009
53,-21,-1009
51,-22,-1008
53,-19,-1010
52,-21,-1009
53,-20,-1010
52,-23,-1012
53,-23,-1009
54,-24,-1007
54,-20,-1012
54,-23,-1009
53,-22,-1007
52,-23,-1007
52,-20,-1012
51,-20,-1008
54,-22,-1012
50,-24,-1008
54,-21,-1010
54,-22,-1010
54,-22,-1012
53,-23,-1008
52,-23,-1011
51,-21,-1007
52,-21,-1008
52,-22,-1006
54,-22,-1007
53,-23,-1007
54,-22,-1005
54,-22,-1010
53,-21,-1011
52,-19,-1012
54,-21,-1011
50,-22,-1008
52,-21,-1009
52,-22,-1010
52,-22,-1010
51,-21,-1010
54,-22,-1010
55,-24,-1011
52,-24,-1009
53,-20,-1014
54,-21,-1007
52,-22,-1012
55,-21,-1006
54,-22,-1012
54,-23,-1009
56,-23,-1012
54,-25,-1006
52,-23,-1012
55,-22,-1008
52,-22,-1009
51,-21,-1010
54,-19,-1014
55,-21,-1011
53,-21,-1011
52,-21,-1009
53,-23,-1013
55,-22,-1007
56,-22,-1009
53,-23,-1013
53,-21,-1010
53,-20,-1010
51,-21,-1011
53,-20,-1007
52,-22,-1012
53,-21,-1010
53,-22,-1011
55,-22,-1008
55,-22,-1010
54,-20,-1005
53,-20,-1010
54,-22,-1007
52,-20,-1013
51,-20,-1009
54,-20,-1010
55,-20,-1009
53,-21,-1010
55,-23,-1011
54,-21,-1011
53,-23,-1011
54,-20,-1011
53,-21,-1012
53,-20,-1008
53,-22,-1010
54,-22,-1008
