,1019
47,-40,1020
47,-39,1015
46,-38,1018
47,-38,1016
41,-39,1018
39,-39,1019
40,-41,1022
41,-41,1025
41,-39,1028
44,-42,1026
42,-44,1026
44,-42,1028
46,-39,1024
46,-38,1020
46,-40,1019
47,-42,1015
45,-40,1013
45,-40,1014
45,-40,1014
42,-38,1015
39,-38,1019
40,-39,1018
39,-40,1021
39,-41,1026
41,-42,1024
41,-41,1031
43,-39,1030
46,-40,1029
47,-42,1026
50,-42,1025
45,-40,1020
46,-42,1018
44,-39,1020
40,-37,1013
40,-39,1013
39,-39,1015
38,-40,1012
40,-39,1017
40,-40,1019
42,-40,1023
45,-44,1027
47,-41,1030
47,-41,1030
50,-39,1031
47,-41,1026
47,-38,1028
46,-41,1022
46,-41,1020
41,-40,1011
41,-40,1015
40,-40,1017
37,-39,1017
39,-38,1016
37,-40,1016
43,-41,1021
46,-42,1026
45,-42,1028
48,-42,1034
48,-42,1028
44,-42,1031
46,-42,1029
45,-39,1022
40,-39,1020
40,-37,1016
40,-39,1014
41,-40,1012
42,-38,1017
39,-42,1013
45,-40,1019
42,-41,1019
43,-39,1028
46,-38,1029
46,-41,1028
45,-42,1030
47,-41,1028
42,-41,1030
43,-43,1027
43,-41,1024
41,-42,1018
40,-44,1017
40,-39,1016
42,-39,1014
44,-40,1012
43,-39,1015
46,-42,1021
46,-42,1022
45,-41,1024
48,-42,1027
45,-40,1026
45,-40,1030
46,-39,1030
43,-41,1030
41,-41,1027
42,-40,1024
44,-41,1017
41,-40,1019
43,-41,1016
43,-43,1017
42,-41,1016
44,-42,1017
42,-41,1018
43,-39,1021
45,-41,1027
41,-41,1024
44,-42,1027
42,-42,1024
43,-41,1026
42,-41,1024
43,-38,1022
41,-41,1024
42,-40,1019
41,-38,1022
43,-40,1015
44,-39,1018
44,-39,1017
44,-42,1017
44,-43,1018
47,-42,1023
43,-40,1024
43,-42,1024
43,-37,1026
41,-37,1030
43,-37,1024
44,-37,1024
44,-40,1023
44,-42,1026
48,-42,1022
46,-43,1019
48,-42,1016
42,-42,1017
41,-42,1015
42,-40,1013
40,-40,1017
41,-38,1027
42,-39,1023
41,-39,1024
41,-42,1025
46,-41,1021
44,-42,1018
44,-42,1020
46,-40,1020
43,-39,1015
43,-38,1018
42,-38,1021
41,-39,1027
45,-42,1030
44,-44,1032
40,-44,1033
40,-42,1026
40,-42,1030
41,-45,1030
43,-41,1033
41,-42,1030
40,-42,1028
47,-42,1026
38,-41,1021
44,-43,1022
45,-41,1020
44,-39,1014
41,-40,1015
41,-41,1012
37,-38,1009
34,-38,1011
26,-37,1017
23,-36,1018
30,-43,1025
29,-44,1028
38,-44,1035
47,-45,1036
49,-41,1033
62,-41,1030
59,-40,1032
62,-40,1024
63,-37,1016
62,-39,1011
60,-41,1010
57,-43,1003
48,-44,1005
38,-44,1015
35,-41,1017
34,-41,1020
40,-38,1028
39,-39,1033
39,-36,1035
40,-38,1038
37,-43,1033
36,-44,1027
39,-44,1026
37,-44,1022
38,-45,1017
41,-42,1015
42,-38,1013
41,-34,1011
47,-33,1011
42,-34,1019
41,-37,1017
40,-43,1024
38,-43,1027
39,-46,1027
43,-45,1031
44,-46,1032
49,-43,1030
51,-40,1031
51,-37,1024
52,-35,1019
48,-37,1016
51,-40,1013
49,-40,1009
44,-43,1010
40,-44,1010
36,-44,1012
32,-42,1016
33,-39,1025
36,-35,1031
35,-40,1031
40,-38,1035
51,-38,1035
49,-32,1030
53,-43,1030
59,-45,1023
56,-45,1017
52,-40,1010
46,-39,1014
41,-36,1010
35,-33,1011
37,-38,1014
36,-33,1012
34,-39,1021
32,-40,1023
34,-45,1028
40,-42,1033
50,-45,1035
54,-42,1033
53,-44,1035
50,-39,1029
47,-38,1022
46,-40,1022
46,-40,1018
42,-42,1009
42,-39,1014
37,-40,1007
37,-39,1010
37,-39,1013
36,-39,1018
37,-40,1025
45,-38,1024
45,-39,1031
44,-40,1032
45,-41,1032
43,-41,1035
43,-42,1034
41,-42,1029
37,-43,1024
37,-40,1022
40,-37,1014
42,-36,1011
50,-38,1009
55,-40,1007
52,-41,1010
59,-42,1007
50,-42,1012
51,-44,1018
49,-41,1025
40,-40,1029
45,-39,1033
35,-39,1038
33,-37,1039
36,-41,1035
34,-42,1031
39,-41,1027
45,-43,1018
46,-44,1012
48,-41,1008
46,-40,1006
45,-37,1007
46,-38,1010
47,-39,1012
47,-41,1019
44,-42,1026
46,-41,1029
45,-42,1026
44,-44,1030
45,-43,1027
46,-42,1026
42,-42,1027
47,-41,1027
41,-40,1024
42,-39,1023
44,-39,1024
40,-42,1024
38,-43,1017
39,-42,1022
35,-41,1016
38,-40,1016
38,-39,1017
40,-39,1016
42,-40,1013
44,-39,1022
43,-40,1022
47,-43,1028
50,-42,1024
44,-43,1024
45,-42,1020
45,-42,1022
40,-41,1018
40,-41,1023
40,-40,1025
36,-42,1030
38,-41,1028
41,-43,1029
40,-43,1025
41,-43,1021
44,-42,1021
42,-40,1019
45,-43,1022
47,-41,1017
44,-40,1021
47,-40,1021
43,-38,1022
42,-42,1025
42,-44,1022
38,-40,1022
42,-40,1024
37,-42,1020
36,-41,1020
45,-42,1020
40,-38,1020
41,-41,1022
48,-42,1023
42,-40,1024
45,-40,1025
47,-44,1027
38,-41,1020
42,-41,1023
45,-42,1022
38,-40,1020
43,-41,1025
40,-42,1025
38,-41,1030
44,-40,1022
37,-40,1025
38,-36,1023
44,-42,1019
40,-43,1019
45,-42,1023
46,-41,1023
45,-42,1021
44,-42,1020
45,-40,1020
41,-39,1022
42,-38,1019
41,-39,1021
41,-40,1022
41,-42,1027
42,-43,1028
43,-43,1029
41,-42,1031
43,-43,1022
39,-41,1021
43,-38,1018
44,-40,1021
42,-42,1017
45,-40,1022
43,-43,1023
44,-43,1023
42,-41,1019
43,-39,1021
40,-42,1018
41,-40,1019
44,-41,1018
39,-40,1020
41,-41,1021
44,-42,1018
42,-40,1023
44,-44,1022
46,-42,1021
43,-41,1023
45,-39,1024
39,-40,1024
42,-41,1021
42,-41,1021
40,-41,1021
41,-40,1022
44,-43,1022
39,-42,1017
44,-42,1018
43,-42,1017
42,-40,1019
42,-40,1022
44,-42,1019
41,-38,1019
46,-40,1023
43,-42,1020
38,-41,1021
44,-41,1023
42,-40,1024
40,-42,1023
46,-43,1023
42,-42,1022
45,-43,1026
46,-39,1024
42,-40,1019
43,-41,1020
43,-40,1021
41,-42,1019
44,-43,1023
43,-40,1020
40,-39,1021
42,-40,1023
42,-41,1020
41,-41,1024
43,-42,1023
45,-40,1029
45,-42,1025
45,-41,1024
42,-39,1020
45,-40,1016
45,-38,1016
45,-39,1011
45,-40,1019
44,-39,1014
42,-41,1017
38,-42,1021
44,-40,1024
42,-43,1028
40,-40,1027
43,-41,1026
40,-41,1024
44,-41,1024
42,-41,1025
44,-41,1024
46,-40,1022
38,-40,1022
33,-41,1022
35,-38,1016
28,-40,1018
34,-40,1017
32,-42,1021
33,-40,1027
38,-39,1024
34,-36,1025
38,-38,1026
42,-40,1021
40,-41,1023
47,-42,1028
56,-43,1027
50,-42,1035
58,-45,1046
58,-47,1054
50,-41,1057
55,-43,1041
58,-38,1023
62,-36,1007
76,-35,985
73,-38,972
76,-34,964
75,-36,964
68,-35,972
53,-38,989
47,-37,1003
38,-40,1025
25,-40,1050
26,-40,1069
27,-42,1075
28,-41,1075
45,-41,1068
53,-42,1048
60,-40,1032
75,-43,1013
77,-39,988
77,-41,978
73,-37,968
65,-38,972
52,-36,980
49,-37,991
34,-38,1013
27,-38,1035
29,-38,1049
26,-42,1060
34,-41,1070
40,-44,1067
49,-45,1063
63,-42,1049
67,-42,1027
79,-41,1007
77,-37,996
66,-36,984
61,-35,978
56,-34,976
42,-35,982
36,-38,991
32,-38,1013
27,-39,1026
32,-39,1038
30,-40,1043
32,-42,1045
56,-42,1040
48,-41,1034
60,-42,1034
61,-43,1038
39,-39,1032
36,-42,1021
45,-42,1012
51,-40,1001
46,-38,999
57,-38,998
54,-38,1000
46,-39,1010
59,-44,1019
59,-46,1016
35,-43,1019
42,-41,1008
33,-41,1008
34,-37,1006
30,-41,1006
27,-43,1010
28,-46,1022
39,-44,1033
40,-47,1047
31,-49,1056
44,-48,1050
38,-46,1050
45,-49,1048
40,-49,1052
38,-47,1048
37,-48,1040
30,-47,1034
40,-49,1021
35,-44,1010
21,-43,1005
38,-41,996
23,-39,994
23,-43,992
34,-45,991
27,-43,995
28,-49,1000
41,-48,994
25,-46,1013
37,-47,1022
44,-47,1022
35,-44,1029
50,-50,1027
44,-52,1040
49,-55,1043
60,-54,1021
52,-51,1011
59,-58,1033
54,-56,1054
36,-52,1093
25,-53,1117
0,-52,1139
3,-55,1156
10,-63,1199
22,-62,1192
12,-67,1187
39,-61,1154
110,-38,1016
45,-46,933
